event_id,timestamp,src,rel,dst,stage,label,is_attack_related,round
B2734,2026-04-01 00:00:04,proc_sys_033,stat,file_/var/log/app_016.log,BENIGN,benign,False,1
B1463,2026-04-01 00:00:24,proc_sys_005,heartbeat,ip_10.0.0.21,BENIGN,benign,False,1
B1286,2026-04-01 00:00:25,proc_app_037,connect,domain_service17.internal,BENIGN,benign,False,1
B2707,2026-04-01 00:01:24,proc_app_018,open,file_/var/log/app_045.log,BENIGN,benign,False,1
B0714,2026-04-01 00:01:28,file_/var/log/app_014.log,spawn,proc_app_007,BENIGN,benign,False,1
B0719,2026-04-01 00:02:22,proc_app_010,stat,file_/var/log/app_017.log,BENIGN,benign,False,1
B0772,2026-04-01 00:03:11,proc_app_049,connect,ip_10.0.0.41,BENIGN,benign,False,1
B0397,2026-04-01 00:03:25,proc_app_031,heartbeat,domain_service14.internal,BENIGN,benign,False,1
B2225,2026-04-01 00:03:26,proc_sys_020,open,file_/home/admin/docs/doc_030.txt,BENIGN,benign,False,1
B1401,2026-04-01 00:03:27,proc_app_060,read,file_/home/admin/docs/doc_021.txt,BENIGN,benign,False,1
B0104,2026-04-01 00:03:41,proc_sys_024,rotate_log,file_/home/admin/docs/doc_009.txt,BENIGN,benign,False,1
B0831,2026-04-01 00:03:55,file_/home/admin/docs/doc_014.txt,copy,file_/var/log/app_051.log,BENIGN,benign,False,1
B2031,2026-04-01 00:04:16,file_/home/admin/docs/doc_023.txt,copy,file_/home/admin/docs/doc_027.txt,BENIGN,benign,False,1
B1968,2026-04-01 00:04:33,proc_app_045,read,file_/var/log/app_009.log,BENIGN,benign,False,1
B2360,2026-04-01 00:04:52,proc_app_073,connect,ip_192.168.1.12,BENIGN,benign,False,1
B0706,2026-04-01 00:05:24,proc_sys_029,fork,proc_sys_014,BENIGN,benign,False,1
B0227,2026-04-01 00:05:36,proc_app_039,stat,file_/tmp/cache_008.dat,BENIGN,benign,False,1
B2678,2026-04-01 00:06:47,proc_app_065,stat,file_/tmp/cache_017.dat,BENIGN,benign,False,1
B1380,2026-04-01 00:07:43,proc_app_033,heartbeat,ip_10.0.0.3,BENIGN,benign,False,1
B0084,2026-04-01 00:07:44,proc_app_017,open,file_/home/admin/docs/doc_022.txt,BENIGN,benign,False,1
B1845,2026-04-01 00:09:00,proc_app_074,append,file_/var/log/app_024.log,BENIGN,benign,False,1
B2205,2026-04-01 00:09:07,proc_app_065,stat,file_/home/admin/docs/doc_034.txt,BENIGN,benign,False,1
B1643,2026-04-01 00:09:22,file_/var/log/app_018.log,spawn,proc_app_017,BENIGN,benign,False,1
B1000,2026-04-01 00:09:28,proc_app_007,append,file_/home/admin/docs/doc_011.txt,BENIGN,benign,False,1
B2310,2026-04-01 00:11:37,proc_sys_023,write,file_/var/log/app_041.log,BENIGN,benign,False,1
B0120,2026-04-01 00:12:06,proc_sys_031,fork,proc_sys_019,BENIGN,benign,False,1
B1029,2026-04-01 00:12:19,proc_sys_011,read,file_/tmp/cache_020.dat,BENIGN,benign,False,1
B1851,2026-04-01 00:12:40,proc_app_006,stat,file_/home/admin/docs/doc_024.txt,BENIGN,benign,False,1
B0318,2026-04-01 00:13:20,proc_app_019,stat,file_/home/admin/docs/doc_013.txt,BENIGN,benign,False,1
B1406,2026-04-01 00:13:23,proc_app_043,open,file_/var/log/app_044.log,BENIGN,benign,False,1
B1567,2026-04-01 00:13:52,proc_sys_039,stat,file_/var/log/app_012.log,BENIGN,benign,False,1
B0770,2026-04-01 00:13:55,file_/var/log/app_004.log,archive,file_/var/log/app_030.log,BENIGN,benign,False,1
B0594,2026-04-01 00:14:26,proc_app_053,write,file_/var/log/app_002.log,BENIGN,benign,False,1
B1125,2026-04-01 00:15:32,proc_app_016,write,file_/home/admin/docs/doc_007.txt,BENIGN,benign,False,1
B2352,2026-04-01 00:15:55,proc_sys_010,dns_query,domain_service09.internal,BENIGN,benign,False,1
B0905,2026-04-01 00:16:03,proc_sys_005,append,file_/tmp/cache_008.dat,BENIGN,benign,False,1
B1231,2026-04-01 00:17:55,proc_app_020,open,file_/var/log/app_002.log,BENIGN,benign,False,1
B2018,2026-04-01 00:18:25,proc_app_048,read,file_/tmp/cache_020.dat,BENIGN,benign,False,1
B0901,2026-04-01 00:18:29,proc_app_078,open,file_/tmp/cache_004.dat,BENIGN,benign,False,1
B1038,2026-04-01 00:19:13,proc_app_045,read,file_/var/log/app_058.log,BENIGN,benign,False,1
B2750,2026-04-01 00:19:55,file_/var/log/app_012.log,spawn,proc_app_017,BENIGN,benign,False,1
B0250,2026-04-01 00:20:31,proc_app_060,spawn,proc_sys_037,BENIGN,benign,False,1
B0603,2026-04-01 00:20:38,proc_app_011,heartbeat,domain_service04.internal,BENIGN,benign,False,1
B2013,2026-04-01 00:20:55,proc_app_053,dns_query,domain_service12.internal,BENIGN,benign,False,1
B0086,2026-04-01 00:21:07,proc_sys_034,read,file_/home/admin/docs/doc_029.txt,BENIGN,benign,False,1
B0962,2026-04-01 00:21:07,proc_sys_005,fork,proc_sys_003,BENIGN,benign,False,1
B2117,2026-04-01 00:21:08,proc_sys_005,append,file_/tmp/cache_007.dat,BENIGN,benign,False,1
B2331,2026-04-01 00:21:32,proc_app_029,read,file_/var/log/app_049.log,BENIGN,benign,False,1
B2547,2026-04-01 00:21:41,proc_sys_035,write,file_/home/admin/docs/doc_017.txt,BENIGN,benign,False,1
B1516,2026-04-01 00:23:06,proc_sys_027,connect,ip_10.0.0.10,BENIGN,benign,False,1
B2051,2026-04-01 00:23:10,proc_app_060,append,file_/tmp/cache_002.dat,BENIGN,benign,False,1
B2128,2026-04-01 00:24:07,proc_sys_031,open,file_/tmp/cache_017.dat,BENIGN,benign,False,1
B1060,2026-04-01 00:24:21,proc_app_072,write,file_/var/log/app_019.log,BENIGN,benign,False,1
B1404,2026-04-01 00:24:40,proc_sys_009,heartbeat,ip_10.0.0.38,BENIGN,benign,False,1
B0836,2026-04-01 00:24:53,proc_app_032,read,file_/home/admin/docs/doc_029.txt,BENIGN,benign,False,1
B2586,2026-04-01 00:25:12,proc_app_076,connect,ip_10.0.0.21,BENIGN,benign,False,1
B2299,2026-04-01 00:25:20,proc_app_011,open,file_/var/log/app_016.log,BENIGN,benign,False,1
B2443,2026-04-01 00:25:45,proc_app_049,connect,ip_192.168.1.11,BENIGN,benign,False,1
B2169,2026-04-01 00:26:10,proc_app_059,write,file_/var/log/app_029.log,BENIGN,benign,False,1
B0759,2026-04-01 00:26:50,proc_app_061,open,file_/var/log/app_047.log,BENIGN,benign,False,1
B2054,2026-04-01 00:26:50,proc_app_009,write,file_/home/admin/docs/doc_016.txt,BENIGN,benign,False,1
B0973,2026-04-01 00:27:00,proc_sys_007,dns_query,domain_service08.internal,BENIGN,benign,False,1
B1602,2026-04-01 00:27:08,proc_app_053,connect,ip_10.0.0.29,BENIGN,benign,False,1
B2483,2026-04-01 00:27:15,proc_sys_025,write,file_/var/log/app_054.log,BENIGN,benign,False,1
B1683,2026-04-01 00:28:10,proc_app_037,open,file_/var/log/app_048.log,BENIGN,benign,False,1
B1022,2026-04-01 00:28:19,proc_app_026,heartbeat,domain_service20.internal,BENIGN,benign,False,1
B1816,2026-04-01 00:30:50,proc_app_056,dns_query,ip_192.168.1.20,BENIGN,benign,False,1
B1498,2026-04-01 00:31:01,proc_app_078,dns_query,ip_10.0.0.24,BENIGN,benign,False,1
